,Date,User,Tweet
0,2023-04-11 05:06:06+00:00,btkamu111,"एक नल से बूंद बूंद करके पानी leak हो रहा है, जब पानी की पहली बूंद sink को टच करती है तो नल मैं से पानी की चौथी बूंद निकलती है तो दूसरी ओर तीसरी बूंद की सिंक से ऊंचाई बताइए।।😂 #physics #PhysicsWallah"
1,2023-04-11 04:32:00+00:00,AdityaN59800330,"@PhysicswallahAP sir please launch clat batches asap because I want to prepare for clat and my family family background is not financially strong . So , I am only dependent on you @physics__wallah . So kindly launch clatWallah asap 🥺🙏🙏 . #PhysicsWallah #clat 
@physics__wallah"
2,2023-04-11 01:28:15+00:00,Rkumar1993may,"class karne ke liye is app per Kitni pareshani Mein uthani padegi
#physicswallah @PhysicswallahAP #GATE2023 #physicswallahapp https://t.co/fUkgJ6Esjt"
3,2023-04-10 14:17:00+00:00,pw__skills,"Techies, Don't you agree🤔🔥
.
.
.
Failure is an ingredient of success that prepares you to achieve success. So never give up and you will achieve success one day.

#pw #pwskills #physicswallah #motivation #coder #coding #programming #programmer #trendingreels #it #inspiration https://t.co/vaMg3xnmFX"
4,2023-04-10 12:56:21+00:00,____yogesh___,"Server down Kara diye....!
#PhysicsWallah #pwserverdown
@PhysicswallahAP"
5,2023-04-10 11:12:58+00:00,PRIYANS09944746,@PhysicswallahAP your customer care services are very poor plus your aap UI. You need to work on your UI more to make it child friendly. There is no way to directly contact anyone to solve the issue related to the online batch. #PhysicsWallah
6,2023-04-10 10:45:29+00:00,EtoosIndia,"Neki kar dariya me daal 😂 
#physicswallah #etoosindia #copypaste #ipl #practical #exam #neet2023 #trending https://t.co/B9vsBTNT84"
7,2023-04-10 10:36:32+00:00,malpani,"What's amazing is how these #Edtech startups don't seem to learn anything from the #Byju's debacle .
#PhysicsWallah is going to follow in their footsteps. Raising too much money results in burning it rashly 
https://t.co/kjULfSvADU"
8,2023-04-10 06:21:28+00:00,vinoj321,@geetha_pookat This might be helpful for physics students #PhysicsWallah #physics
9,2023-04-10 05:49:42+00:00,pw__skills,"Techies, Agree?
.
.
.
Put down your thoughts 💭
#pwskills #ineuron #physicswallah #coder #coding #programming #programmer #quote #motivation #thoughts #Tweets https://t.co/a7feSBs9NH"
10,2023-04-10 04:49:04+00:00,amazonminiTV,"what’s your sibling relationship like? 🤔🤩

#MonaSingh #VisheshBansal #AhanNirban #ShreedharDubey #RadhaBhatt 

#WorldSiblingsDay #AmazonminiTV #YehMeriFamily #PhysicsWallah #Siblings #WatchNow #ForYou #ForFree https://t.co/5UX4Lcvk2W"
11,2023-04-10 04:01:17+00:00,devi_fuma,"Escape speed is minimum for which Q angle of projection ??
#physics  #physicswallah"
12,2023-04-09 15:38:30+00:00,malpani,Coaching classes like #Byju's and #PhysicsWallah sell the dream of fire insurance to parents rather than helping to stop the fire of unemployable graduates created by a broken Education System
13,2023-04-09 14:39:09+00:00,malpani,It's because parents aren't willing to put in the work required to help their kids become self-directed learners that coaching classes like #Byju's and #Vedantu and #Unacademy and #PhysicsWallah are able to mis-sell dangerous fantasies
14,2023-04-09 14:34:29+00:00,malpani,"Coaching classes like #Byju's , #PhysicsWallah , #Aakash and #Unacademy don't help students learn better , but assuage the guilt of parents who naively assume they are doing the best for their kids by buying expensive tuitions for them ."
15,2023-04-09 13:40:31+00:00,DreamVerse10,Hey @physics__wallah there is no solution available on today's test aits-07 please give the solution icon in today test #PhysicsWallah
16,2023-04-09 12:25:12+00:00,RohitKu89560641,Why my issue is not solved yet? I had complaint on 2nd April but still my issue is not solved yet. Dear #PhysicsWallah @physics__wallah Please Look into the matter and solve the issue as soon as possible. I had also sent message on Twitter but now I am not getting any response?
17,2023-04-09 11:55:00+00:00,EtoosIndia,"Bataao Koi sense hai es baat ka 🤣 
#etoosindia #physicswallah #lonepair #memes #chemistrymeme #neet2023 #lonepairmemes https://t.co/z1IXDZWgF3"
