Date,User,Tweet,Translated_Tweet
2023-04-11 05:06:06+00:00,btkamu111,एक नल स बद बद करक पन leak ह रह ह जब पन क पहल बद sink क टच करत ह त नल म स पन क चथ बद नकलत ह त दसर ओर तसर बद क सक स ऊचई बतइए physic physicswallah,"By closing one tap, the pin is leaking, when the first tip of the pin touches the sink, the thread of the spin in the tap is duplicated, on the other hand, turn the finger, tell the height of the sink physics physicswallah"
2023-04-11 04:32:00+00:00,AdityaN59800330,sir please launch clat batch asap want prepare clat family family background financially strong dependent __wallah kindly launch clatwallah asap physicswallah clat __wallah,sir please launch clat batch asap want prepare clat family family background financially strong dependent __wallah kindly launch clatwallah asap physicswallah clat __wallah
2023-04-11 01:28:15+00:00,Rkumar1993may,class karne ke liye app per kitni pareshani mein uthani padegi physicswallah gate2023 physicswallahapp,How much trouble will you have to face on the app to do the class Fasiksuallah Gt2023
2023-04-10 14:17:00+00:00,pw__skills,techie dont agree failure ingredient success prepares achieve success never give achieve success one day pw pwskills physicswallah motivation coder coding programming programmer trendingreels inspiration,techie dont agree failure ingredient success prepares achieve success never give achieve success one day pw pwskills physicswallah motivation coder coding programming programmer trendingreels inspiration
2023-04-10 12:56:21+00:00,____yogesh___,server kara diye physicswallah pwserverdown,server kara diye physicswallah pwserverdown
2023-04-10 11:12:58+00:00,PRIYANS09944746,customer care service poor plus aap ui need work ui make child friendly way directly contact anyone solve issue related online batch physicswallah,customer care service poor plus aap ui need work ui make child friendly way directly contact anyone solve issue related online batch physicswallah
2023-04-10 10:45:29+00:00,EtoosIndia,neki kar dariya daal physicswallah etoosindia copypaste ipl practical exam neet2023 trending,neki kar dariya daal physics wallah etoosindia copypaste ipe practical exam neet 2023 trending
2023-04-10 10:36:32+00:00,malpani,whats amazing edtech startup dont seem learn anything byjus debacle physicswallah going follow footstep raising much money result burning rashly,whats amazing edtech startup dont seem learn anything byjus debacle physicswallah going follow footstep raising much money result burning rashly
2023-04-10 06:21:28+00:00,vinoj321,_pookat might helpful physic student physicswallah physic,pocket might helpful physics student physics wallah physics
2023-04-10 05:49:42+00:00,pw__skills,techie agree put thought pwskills ineuron physicswallah coder coding programming programmer quote motivation thought tweet,techie agree put thought pwskills ineuron physicswallah coder coding programming programmer quote motivation thought tweet
2023-04-10 04:49:04+00:00,amazonminiTV,whats sibling relationship like monasingh visheshbansal ahannirban shreedhardubey radhabhatt worldsiblingsday amazonminitv yehmerifamily physicswallah sibling watchnow foryou forfree,whats sibling relationship like monasingh visheshbansal ahan nirban shreedhar dubey radhabhatt worldsiblingsday amazon minitv yehmerifamily physicswallah sibling watchnow foryou forfree
2023-04-10 04:01:17+00:00,devi_fuma,escape speed minimum q angle projection physic physicswallah,escape speed minimum q angle projection physic physicswallah
2023-04-09 15:38:30+00:00,malpani,coaching class like byjus physicswallah sell dream fire insurance parent rather helping stop fire unemployable graduate created broken education system,coaching class like byjus physicswallah sell dream fire insurance parent rather helping stop fire unemployable graduate created broken education system
2023-04-09 14:39:09+00:00,malpani,parent arent willing put work required help kid become selfdirected learner coaching class like byjus vedantu unacademy physicswallah able missell dangerous fantasy,parent arent willing put work required help kids become self directed learner coaching class like byjus vedantu unacademy physics wallah able missell dangerous fantasy
2023-04-09 14:34:29+00:00,malpani,coaching class like byjus physicswallah aakash unacademy dont help student learn better assuage guilt parent naively assume best kid buying expensive tuition,coaching class like byjus physicswallah aakash unacademy dont help student learn better assuage guilt parent naively assume best kid buying expensive tuition
2023-04-09 13:40:31+00:00,DreamVerse10,hey __wallah solution available today test aits07 please give solution icon today test physicswallah,hey __wallah solution available today test aits07 please give solution icon today test physicswallah
2023-04-09 12:25:12+00:00,RohitKu89560641,issue solved yet complaint 2nd april still issue solved yet dear physicswallah __wallah please look matter solve issue soon possible also sent message twitter getting response,issue solved yet complaint 2nd april still issue solved yet dear physicswallah __wallah please look matter solve issue soon possible also sent message twitter getting response
2023-04-09 11:55:00+00:00,EtoosIndia,bataao koi sense hai e baat ka etoosindia physicswallah lonepair meme chemistrymeme neet2023 lonepairmemes,Batao koi sense hai ae baat ka etoosindee phrysikaswallah laoneper meme chemistrememe nit2023 laoneparmemes
2023-04-09 10:04:06+00:00,newsincindia,join via physicswallah newsupdate raipur_news chhattisgarhnews schoolfights india reelsvideo facebook education educationforall,join via physicswallah newsupdate raipur_news chhattisgarhnews schoolfights india reelsvideo facebook education educationforall
2023-04-09 09:17:26+00:00,Aleem97405995,ntareopenneetregistration2023 afmc toi aajtk physicswallah narendramodi educationminister,NatreyoPenregistration2023 Afamasi Toi Ajatak Phrysikaswallah Narendra Modi Education Minister
2023-04-09 06:42:09+00:00,malpani,edtech startup like byjus vedantu unacademy physicswallah upgrad need chief ethic officer,edtech startup like byjus vedantu unacademy physics wallah upgrad need chief ethics officer
2023-04-09 06:41:49+00:00,malpani,need gift book founder byjus vedantu unacademy physicswallah upgrad ethical executive becoming aware root cause unethical behavior 45 psychological trap every one u fall prey,need gift book founder byjus vedantu unacademy physicswallah upgrad ethical executive becoming aware root cause unethical behavior 45 psychological trap every one u fall prey
2023-04-09 06:36:27+00:00,pandeyank1t,pw changing game come online learning engaging teaching style passion physic made learning fun accessible student around world thank inspiring next generation physicist physicswallah,pw changing game come online learning engaging teaching style passion physicist make learning fun accessible student around world thank inspiring next generation physicist physics wallah
2023-04-09 06:09:41+00:00,HamzaKhanKaka13,marie curie daughter irène first motherdaughter pair win nobel prize science marie curie awarded nobel prize physic 1903 work radioactivityphysics historyofphysics physicswallah,marie curie daughter irène first motherdaughter pair win nobel prize science marie curie awarded nobel prize physic 1903 work radioactivityphysics historyofphysics physicswallah
2023-04-09 05:03:36+00:00,malpani,chatgpt gtgt byjus akash physicswallah,chatgpt gtgt byjus akash physicswallah
2023-04-09 04:53:10+00:00,EtoosIndia,असफल व हत ह ज रत और जयद सचत ह _ dont overthinker _ short etoosindia physicswallah etoosindia aamam neetstudents motivation aiims success,_ dont overthinker _ short etoosindia physicswallah etoosindia aamam neetstudents motivation aiims success
2023-04-09 04:37:49+00:00,M_Gaikwad_,hume bhi koi pyar kar lo zoota hi sahi neetug2023 neet neetug2023 doctor medtwitter physicswallah unacademy twitter,Hume bhi koi pyar kar lo juta hi sahi neetug2023 neet neetug2023 doctor medtwittar fasiksualallah unakademy twitter
2023-04-09 03:14:42+00:00,Physicsgyani,nta latest pattern jee main 2023 jee main physic jee main physic crash course jeemains physic via jeemains2023 jeemains physicswallah,nta latest pattern jee main 2023 jee main physic jee main physics crash course jee main physic via jee mains 2023 jeemains physicswallah
2023-04-09 03:13:29+00:00,Physicsgyani,nta trend change important question jee main physic jee main physic crash course jeemains physic via jeemains2023 jeemains physicswallah,nta trend change important question jee main physic jee main physics crash course jee main physic via jee mains 2023 jeemains physicswallah
2023-04-08 14:19:33+00:00,pw__skills,techie inviting developing restful apis using nodejs amp express master class 12th april 2023 830 pm register pw physicswallah ineuron masterclass nodejs java frontend backend live register pwskills,techie inviting developing restful apis using nodejs amp express master class 12th april 2023 830 pm register pw physicswallah ineuron masterclass nodejs java frontend backend live register pwskills
2023-04-08 13:44:01+00:00,therndtv1,physicswallah,physicswallah
2023-04-08 11:54:17+00:00,Aleem97405995,_nta neetug2023 extendneetregistration neet2023 nta neetug physicswallah nta,_Nta Neetug2023 ExtendNeetRegistration NEET2023 Nta Neetug PhysicsSwallah Nta
2023-04-08 11:48:41+00:00,EtoosIndia,samjhe baccho physicswallah etoosindia friction physic coefficient physicsmemes frictionmeme,samjhe baccho physics wallah etoosindia friction physics coefficient physicsmemes friction meme
2023-04-08 11:39:52+00:00,RBrainfoster,ip physic tuition sg physic tuition reputable reliable ip physic tuition singapore also offer mathematics chemistry tuition singapore physicstuition tuitiion physic physicswallah,ip physic tuition sg physic tuition reputable reliable ip physic tuition singapore also offer mathematics chemistry tuition singapore physicstuition tuitiion physic physicswallah
2023-04-08 09:38:41+00:00,akshatyadav07,revolution begin physicswallah alakhpandey physic revolution,revolution begin physics wallah alakh pandey physics revolution
2023-04-08 08:42:34+00:00,EtoosIndia,kyo man laddoo futa na yahi chahte tumhai ki nahi etoosindia physicswallah trending lastbenchmemes viral neet2023 studentsmeme,Kyun man laddu foota nahi chahte tumhai ki nahi etusindya fasiksualallah trending lsbenchmemes viral neet2023 students
2023-04-08 05:24:53+00:00,shivaniAshinde,physicswallah buck trend stay away crazy fund raise sector seen also crazy valuation many received fund chasing indian startup story,physicswallah buck trend stay away crazy fund raise sector seen also crazy valuation many received fund chasing indian startup story
2023-04-08 03:23:20+00:00,M_Gaikwad_,amp umbrella 30 morning nikhal pde lab ke liye hum neet walo ko kaha barish kaha moasum ka fhark padta hai hume ba apane aapse apne sapno se mtlb hai neetug2023 neetug2023 doctor medtwitter life physicswallah unacademy,amp umbrella 30 morning nikhal pde lab ke liye hum neet walo ko kaha barish ka fhark padta hai hume ba aapane aapse aapne sapno se mtlb hai neetug2023 neetug2023 doctor medtwitter life physicswallah unacademy
